City,Date,TMax,TAvg,TMin,HAvg,WSAvg
Bangalore,1,91,80.5,72,59.5,7.8
Bangalore,2,90,80.8,72,61,6.4
Bangalore,3,91,81.3,72,59.4,6.4
Bangalore,4,88,79,72,67.4,5.9
Bangalore,5,91,81.5,72,58,6.9
Bangalore,6,91,81.4,72,58.7,6.7
Bangalore,7,90,80.6,73,60.8,7.9
Bangalore,8,91,81,72,63.1,7
Bangalore,9,91,82.7,72,54.5,6.8
Bangalore,10,91,82.1,73,60,5.4
Bangalore,11,88,78.2,70,73.2,6.7
Bangalore,12,90,77.1,70,77.9,4.8
Bangalore,13,90,77.7,70,74.4,5.5
Bangalore,14,90,79.5,70,66.5,10.6
Bangalore,15,82,75.1,72,74.9,11.7
Bangalore,16,82,75.6,70,74.1,9
Bangalore,17,90,78.7,70,65.2,8.4
Bangalore,18,86,77.8,72,69,8.9
Bangalore,19,91,79.7,70,66.2,8.5
Bangalore,20,86,77.6,72,73.5,9.5
Bangalore,21,84,76.1,72,78.1,9.2
Bangalore,22,86,77.4,70,70.7,7.5
Bangalore,23,88,78.7,70,67.8,8.4
Bangalore,24,88,77.8,70,71.1,9.5
Bangalore,25,86,76,70,76.9,12
Bangalore,26,86,77,68,70.1,13.8
Bangalore,27,88,77.9,68,59.9,13.6
Bangalore,28,88,78.9,68,60.7,11.7
Bangalore,29,90,79.4,70,62.7,11.1
Bangalore,30,90,78.9,70,63.2,12.4
Bangalore,31,90,82,70,55.8,13.3
Chennai,1,93,86.3,79,70,6.3
Chennai,2,93,86.4,81,68.8,6.5
Chennai,3,93,86.3,79,68.9,6
Chennai,4,93,86.6,79,67.2,6.1
Chennai,5,93,86.6,79,67.8,6.5
Chennai,6,93,87.2,81,66.7,7
Chennai,7,93,87.3,82,66.2,7.3
Chennai,8,93,86.3,81,68.5,6
Chennai,9,95,87.3,81,66.5,7
Chennai,10,95,87.3,81,67.1,7.6
Chennai,11,99,89.2,81,65,9
Chennai,12,97,88.5,82,67.5,8.1
Chennai,13,97,88.2,82,70.2,8.8
Chennai,14,97,88.2,82,67.2,9.7
Chennai,15,97,88,82,62.4,10.8
Chennai,16,95,87,82,67.7,10.6
Chennai,17,97,88.7,82,65.4,9.6
Chennai,18,99,88.9,82,66.2,10.3
Chennai,19,97,88.4,81,67.6,9.1
Chennai,20,99,84,73,72.4,7.3
Chennai,21,95,81.8,75,79,6.7
Chennai,22,88,84,77,74.7,4.6
Chennai,23,93,86.3,81,68.5,8
Chennai,24,95,88.4,81,63.2,6.7
Chennai,25,99,88.3,81,58.5,10.3
Chennai,26,100,90.9,81,53.1,10
Chennai,27,99,88.3,81,57.4,10
Chennai,28,97,85.6,79,57,8.4
Chennai,29,97,85.5,77,59.3,8.4
Chennai,30,97,83.9,73,60.7,9.6
Chennai,31,99,85.5,75,61.3,8.5
Mumbai,1,97,88.4,84,68.9,6
Mumbai,2,91,87.5,84,68.8,5.7
Mumbai,3,95,88.4,84,66.4,7.2
Mumbai,4,93,88.7,84,69.6,7
Mumbai,5,91,87.8,84,75,6.4
Mumbai,6,91,87,84,76.2,6.8
Mumbai,7,93,87.8,84,73.3,7
Mumbai,8,91,87.6,84,74.5,7.3
Mumbai,9,91,87.9,84,73.5,7.8
Mumbai,10,93,87.6,84,69.2,7.6
Mumbai,11,91,87.2,84,68,8.6
Mumbai,12,91,87.3,84,65.2,7.5
Mumbai,13,91,87.2,84,65.8,7.2
Mumbai,14,93,87.8,82,67.1,7.7
Mumbai,15,100,91.4,84,58.5,8.3
Mumbai,16,99,90.7,79,54.2,13.3
Mumbai,17,84,80.2,75,91.8,19.1
Mumbai,18,86,84.2,81,86.8,13.6
Mumbai,19,88,83.1,79,87.5,5.7
Mumbai,20,90,86,81,79.2,5.9
Mumbai,21,91,87,82,74.3,7.6
Mumbai,22,91,87.6,84,72.5,8
Mumbai,23,91,87.6,84,73,7.8
Mumbai,24,93,87.9,84,72.8,8.5
Mumbai,25,91,87.6,84,74.6,9
Mumbai,26,90,87.5,84,70.8,10.5
Mumbai,27,90,87.5,82,76.3,11.2
Mumbai,28,91,88.1,86,77.2,9.3
Mumbai,29,91,88.4,86,74.3,7.1
Mumbai,30,91,87.4,82,74.7,7.9
Mumbai,31,90,85.7,79,82,7.3
